iter	MultiClass
0	2.555475565
1	2.213507592
2	2.009587443
3	1.88484207
4	1.732007642
5	1.654666762
6	1.532673694
7	1.498271925
8	1.388686015
9	1.32074509
10	1.245722168
11	1.178727639
12	1.137325747
13	1.121087726
14	1.082358756
15	1.058659395
16	1.031752208
17	1.001936703
18	0.9764543758
19	0.9559067424
20	0.9300997494
21	0.9153437848
22	0.9082791136
23	0.8895014824
24	0.8697251333
25	0.8425978009
26	0.8240877096
27	0.8021347315
28	0.7712460376
29	0.7543388694
30	0.7456897995
31	0.7330538089
32	0.7208152888
33	0.7142366444
34	0.6968463053
35	0.6864990297
36	0.6832406092
37	0.6675177887
38	0.6492543905
39	0.638296708
40	0.6298520022
41	0.6220277835
42	0.6186281809
43	0.6042233732
44	0.5992225523
45	0.5941622763
46	0.5857866336
47	0.5810106407
48	0.5765089893
49	0.5747501586
50	0.5665635672
51	0.5628146057
52	0.5606977203
53	0.5540110443
54	0.5519432575
55	0.5468478271
56	0.5424450222
57	0.5406467745
58	0.5365032407
59	0.5285638939
60	0.5268074461
61	0.519719515
62	0.5191485479
63	0.5127685669
64	0.508270852
65	0.5055743276
66	0.5015686569
67	0.4986631388
68	0.4965354473
69	0.4963570202
70	0.494604646
71	0.4939518552
72	0.4915909561
73	0.4893001699
74	0.4862423486
75	0.4859531113
76	0.4838527739
77	0.4836731691
78	0.4818301194
79	0.47834758
80	0.4779742005
81	0.4771985449
82	0.4761510641
83	0.4740899645
84	0.4713724519
85	0.4681584661
86	0.4668471937
87	0.464294469
88	0.4623341033
89	0.4614884698
90	0.4610930531
91	0.4607536803
92	0.4589814919
93	0.4576932925
94	0.4574831722
95	0.4541930789
96	0.4533605431
97	0.452287068
98	0.4521216248
99	0.4501177223
100	0.4485612295
101	0.4472039564
102	0.4455149271
103	0.4432753359
104	0.442923352
105	0.4416859585
106	0.4406980815
107	0.4385489633
108	0.4381147414
109	0.4354036772
110	0.4352296745
111	0.4348529589
112	0.4347263444
113	0.4334203097
114	0.4332691707
115	0.4322570316
116	0.4321809934
117	0.4310098292
118	0.4292683806
119	0.4292315367
120	0.4279102883
121	0.4268079259
122	0.4262452841
123	0.4257556897
124	0.4254360598
125	0.4239858284
126	0.4215908583
127	0.4212110517
128	0.4207054054
129	0.4206176825
130	0.4190582003
131	0.4187880351
132	0.4172367066
133	0.4157475111
134	0.4155865959
135	0.4139220947
136	0.4138163731
137	0.413575111
138	0.4115741126
139	0.4105141212
140	0.4104998396
141	0.4100422623
142	0.4057444945
143	0.4030490556
144	0.4020864094
145	0.4007159694
146	0.4003828594
147	0.3996065995
148	0.3985273527
149	0.3967366997
150	0.396518159
151	0.3948275731
152	0.3937566531
153	0.3914788257
154	0.3904214517
155	0.3893509758
156	0.3874205667
157	0.3860214278
158	0.3824918676
159	0.3806355336
160	0.3768497814
161	0.374959752
162	0.3732595683
163	0.3705568411
164	0.3688022537
165	0.3666632773
166	0.3649383246
167	0.3631826629
168	0.3609525438
169	0.3593271194
170	0.3571112272
171	0.3547630809
172	0.3529805497
173	0.3512701347
174	0.3495585172
175	0.3482220469
176	0.3467841179
177	0.3453782077
178	0.3440087765
179	0.3428056074
180	0.3415684921
181	0.3406836469
182	0.339646595
183	0.3385300211
184	0.3372573531
185	0.3365275791
186	0.335669813
187	0.3350885096
188	0.3340496678
189	0.3328509073
190	0.3322053605
191	0.331369171
192	0.3307164056
193	0.3298951033
194	0.3292179162
195	0.3285035754
196	0.3280570069
197	0.3276732993
198	0.3268801063
199	0.3262919857
