iter	Passed	Remaining
0	993	992840
1	1966	981046
2	3035	1008647
3	3913	974507
4	4785	952388
5	5687	942275
6	6552	929501
7	7424	920671
8	8302	914238
9	9271	917880
10	10257	922220
11	11225	924192
12	12177	924584
13	13080	921214
14	13962	916865
15	14865	914234
16	15760	911331
17	16663	909096
18	17556	906493
19	18453	904198
20	19365	902812
21	20259	900641
22	21150	898446
23	22028	895807
24	22925	894086
25	23803	891706
26	24679	889374
27	25578	887948
28	26475	886472
29	27358	884602
30	28268	883631
31	29142	881552
32	30048	880501
33	30941	879094
34	31844	877999
35	32720	876188
36	33609	874759
37	34502	873461
38	35365	871448
39	36271	870510
40	37158	869134
41	38054	868007
42	38935	866549
43	39842	865667
44	40740	864609
45	41637	863516
46	42531	862402
47	43418	861124
48	44295	859702
49	45181	858452
50	46087	857582
51	46968	856270
52	47873	855408
53	48763	854255
54	49656	853183
55	50586	852746
56	51491	851868
57	52396	850997
58	53310	850259
59	54207	849252
60	55087	847980
61	55979	846919
62	56886	846069
63	57795	845257
64	58685	844161
65	59602	843464
66	60495	842418
67	61382	841303
68	62273	840241
69	63183	839442
70	64078	838441
71	64984	837582
72	65880	836595
73	66786	835739
74	67682	834747
75	68580	833792
76	69502	833123
77	70382	831958
78	71285	831062
79	72179	830064
80	73073	829064
81	73969	828102
82	74872	827207
83	75772	826283
84	76674	825383
85	77583	824547
86	78490	823696
87	79391	822785
88	80281	821759
89	81189	820911
90	82099	820088
91	83022	819399
92	83936	818603
93	84837	817692
94	85756	816947
95	86662	816069
96	87554	815070
97	88455	814147
98	89360	813275
99	90275	812478
100	91189	811672
101	92134	811141
102	93047	810325
103	93955	809466
104	94867	808629
105	95774	807754
106	96677	806849
107	97587	805997
108	98494	805125
109	99407	804298
110	100332	803561
111	101242	802706
112	102159	801905
113	103082	801149
114	103986	800246
115	104897	799391
116	105815	798592
117	106726	797732
118	107628	796812
119	108544	795990
120	109450	795098
121	110355	794196
122	111271	793377
123	112188	792560
124	113096	791673
125	114001	790771
126	114910	789899
127	115828	789080
128	116728	788141
129	117641	787293
130	118547	786392
131	119468	785592
132	120392	784816
133	121302	783937
134	122213	783069
135	123122	782189
136	124021	781244
137	124916	780275
138	125830	779427
139	126750	778609
140	127676	777831
141	128586	776954
142	129493	776053
143	130399	775154
144	131316	774315
145	132223	773419
146	133137	772557
147	134042	771652
148	134960	770814
149	135886	770025
150	136774	769017
151	137680	768110
152	138583	767192
153	139485	766264
154	140390	765356
155	141293	764435
156	142199	763529
157	143120	762702
158	144017	761754
159	144922	760844
